site_id,poly1,poly2,poly3,max-by-site,max-config,MAE_meters,RMSE_meters
MDOT3970,-0.1748363731168567,-2.4756019018266704,-0.946725583625368,-0.1748363731168567,poly1,0.7117887002491939,0.8312903030266702
MDOT4011,0.3601830402844437,-0.358201536029372,-0.3240145446256623,0.3601830402844437,poly1,0.39043887086271517,0.48295372503913797
MDOT4240,-1.503156226068216,-1.406165413278226,-14.231457092127284,-1.406165413278226,poly2,0.2653573515457439,0.37241640419624616
MDOT4706,0.7778697576417527,0.8718796640834977,0.8678126771949688,0.8718796640834977,poly2,0.15261053278428008,0.21086865419210163
MDOT488,-0.2706775852042524,-0.059657192166806,-0.3485499818137512,-0.059657192166806,poly2,0.11787170094799349,0.1465177701354024
MDOT4932,-0.3491308136686202,-1.096139395713359,-0.1327619823425259,-0.1327619823425259,poly3,0.6983861190161877,0.9307671234434671
MDOT5772,-0.6265327756644417,-0.8764236578071078,-0.9396106468176112,-0.6265327756644417,poly1,0.1495884972943645,0.22039255488774734
MDOT6140,0.2532539115164853,0.1317053367775633,0.1794949395147586,0.2532539115164853,poly1,0.11546138499348772,0.14010952535703694
MDOT6142,0.1195223799149104,-0.1333942851428389,-300437558502.7458,0.1195223799149104,poly1,0.11789989408551571,0.13858864229181672
MDOT6440,-0.7611475366429619,-0.7971064072470961,-0.4156214658335819,-0.4156214658335819,poly3,0.06503770214017633,0.07781897353156873
MDOT6513,0.4212773851755894,0.4078745920419924,0.332103992672306,0.4212773851755894,poly1,0.1412289693309557,0.18390187348278322
MDOT7075,-0.9154121554316372,-0.9115737265777788,-0.2215343848709667,-0.2215343848709667,poly3,0.3096066599383623,0.4915935291727672
MDOT7079,-0.2039983720841074,-0.3570497991596943,-0.0029112089222675,-0.0029112089222675,poly3,0.24217217951130823,0.32662785489991664
MDOT7092,0.1421851821190758,0.2846132824720453,0.2804978865120198,0.2846132824720453,poly2,0.19921514821704547,0.2986836640578026
MDOT7166,-0.7879884726870137,-0.0231934664623998,-4.380918159599359,-0.0231934664623998,poly2,0.1770782165939119,0.22762889008931025
MDOT752,-0.4619689303847436,0.1026969515634225,0.1035528820583189,0.1035528820583189,poly3,0.06976497895219641,0.16954956544651076
MDOT7587,0.3089034924395268,0.2855987570221054,0.3767770670968658,0.3767770670968658,poly3,0.0688813013772123,0.09440242642660164
MDOT8706,0.4272984102170393,0.5805858538560186,-26.776555531428414,0.5805858538560186,poly2,0.13977492925085636,0.20676015170260503
MDOT8767,0.5255798281246875,0.5709176919347512,0.4237128207644357,0.5709176919347512,poly2,0.22111418799279153,0.2782200234422903
MDOT8955,-0.1406272885102431,-0.1176415898164662,-0.5865430977423607,-0.1176415898164662,poly2,0.18236130831950542,0.23081898930104322
MDOT9178,0.641329494794575,0.5247010733131912,0.4953079328354196,0.641329494794575,poly1,0.10961464355236387,0.14906492803313756
MDOT9682,0.0563096268661708,0.0370503799376152,-0.3852353420049317,0.0563096268661708,poly1,0.23821476301696268,0.29536068781645813
MDOT9734,0.0294665716660187,0.348619562798358,0.6020884157370233,0.6020884157370233,poly3,0.11884056725994166,0.21114048883523628
PTK014,0.525098922008008,0.5300910072785859,0.5422187678648358,0.5422187678648358,poly3,0.04135165776410243,0.07580429066576283
